"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
2.40608488871929,8.64718158305473,9.36972185153479,2.62136729018471e-10,1.67625494873289e-06,13.5120401505816,"HSPA2"
-3.88316866499761,7.68566094491558,-9.2135542994098,3.79855644018827e-10,1.67625494873289e-06,13.1624036489863,"YJEFN3"
2.22805128581705,10.8392639002348,9.21311263900766,3.80256060411289e-10,1.67625494873289e-06,13.1614097356572,"RO60"
3.92025271760912,9.18618524854381,9.20686782851589,3.85964152902344e-10,1.67625494873289e-06,13.1473533248125,"FAM107B"
2.63243480850397,9.1655311124827,9.19991940733817,3.92418519695873e-10,1.67625494873289e-06,13.1317064016795,"CEBPB"
-2.64092580443554,9.74109224174638,-9.02322790639793,5.99557867230967e-10,1.83244314157539e-06,12.7314290482806,"SDF4"
-3.30399439457953,7.13900746355936,-9.01308096614702,6.14407783356569e-10,1.83244314157539e-06,12.7083024824581,"BAD"
-3.30493442437855,9.84400741492314,-8.81632408437047,9.9005759724133e-10,1.83244314157539e-06,12.2568667548736,"PRXL2B"
2.42329293865215,10.7746799630743,8.79149126050903,1.05188732944859e-09,1.83244314157539e-06,12.1994866249102,"IRF2BP2"
-2.74257923705724,11.6285803817979,-8.76749930551638,1.11537428734009e-09,1.83244314157539e-06,12.1439635891198,"PRDX2"
4.25689230437683,8.87040975689722,8.75900944426743,1.13876685012071e-09,1.83244314157539e-06,12.1242958466189,"NEAT1"
-3.2755981115188,8.81610689269864,-8.7402866541522,1.19214331400811e-09,1.83244314157539e-06,12.0808850350133,"VPS28"
-2.45111576397425,11.4181091601454,-8.71885326644055,1.25639677831742e-09,1.83244314157539e-06,12.0311264139358,"RTL8C"
-2.10177888342782,11.4344540055848,-8.71489197202872,1.26865417077587e-09,1.83244314157539e-06,12.0219227223721,"CRACDL"
-2.38718736063816,9.88956224148932,-8.70905183099156,1.28694854965965e-09,1.83244314157539e-06,12.0083495225356,"ALKBH6"
2.09532869341695,9.25790847257259,8.62013116188964,1.60130654127609e-09,2.08387620459044e-06,11.8010714558417,"ZNF397"
-4.14543033406478,6.69339478086816,-8.5948838434596,1.70414077544232e-09,2.08387620459044e-06,11.7420085421538,"SMYD5"
-1.95372424669803,9.28171420557016,-8.58268062291667,1.7562398952443e-09,2.08387620459044e-06,11.7134273609151,"SLC1A4"
2.32420354221855,9.46520811760887,8.3866089577488,2.85678270483818e-09,3.21132447420705e-06,11.251243375666,"IGF1R"
-3.95914077811828,9.10155609566945,-8.34980335035809,3.13172089471543e-09,3.3281652862708e-06,11.1638648204854,"CHRM1"
-3.45017156987833,5.98762731072577,-8.31555414450383,3.41181816083005e-09,3.3281652862708e-06,11.0823802342733,"RTBDN"
-2.24373417655828,8.24271445786612,-8.3136400575775,3.42820658759985e-09,3.3281652862708e-06,11.0778213292595,"MLIP"
2.16576212053473,10.0306997493827,8.23940134230213,4.12993190655243e-09,3.83509068087595e-06,10.9005970225839,"NDRG1"
-3.74159837610357,5.97196588957563,-8.21876160706139,4.34993668196928e-09,3.8580945322861e-06,10.8511853609077,"VILL"
-1.85781063018108,8.77620994734956,-8.20387747349861,4.51598292476602e-09,3.8580945322861e-06,10.8155149362274,"SRPRA"
2.73946680007132,8.67910197885829,8.15521125365727,5.10545391094617e-09,4.07202756941508e-06,10.6986642587077,"AFF1"
2.76382055641425,9.37714953110696,8.15194615059748,5.14770785533323e-09,4.07202756941508e-06,10.6908124915062,"ERBIN"
-3.38644412369078,8.91052067180434,-8.09724517876716,5.91113740878836e-09,4.453966880968e-06,10.5590454917866,"TMEM97"
-3.14576777829169,11.3377524804453,-8.07508372239398,6.25244629571433e-09,4.453966880968e-06,10.5055412168017,"MRPL41"
-2.18499933580776,9.62681320226114,-8.0748496077795,6.25615724454724e-09,4.453966880968e-06,10.5049756253934,"AP4S1"
3.50280353591596,5.37595246270128,8.05144598853747,6.63869892546485e-09,4.51042808770888e-06,10.4483964584243,"DEFB106A"
3.05147762744007,10.1756340279016,8.02959661314959,7.01736366282278e-09,4.51042808770888e-06,10.3955051770155,"HIPK2"
-4.21568881399251,8.8896443048261,-8.01819146217001,7.22370093037551e-09,4.51042808770888e-06,10.3678698314806,"PRR36"
-2.9635051658432,9.97827539000526,-8.01077632387198,7.36116156413242e-09,4.51042808770888e-06,10.3498927306104,"AP2M1"
-2.42797224464957,11.5084778319801,-7.99345371268852,7.69277482279317e-09,4.51042808770888e-06,10.3078661438936,"ADGRB3-DT"
-4.13529265566084,6.73785301628523,-7.97856110462516,7.99003112195044e-09,4.51042808770888e-06,10.271701445176,"TBL3"
-1.89887181763342,10.7254767375891,-7.97746238728832,8.01242009440966e-09,4.51042808770888e-06,10.2690321295908,"MAPRE2"
2.89049615700895,8.79513416435627,7.97685026780571,8.02492121607535e-09,4.51042808770888e-06,10.2675449222804,"LPAR1"
-3.8682252373935,5.875755032713,-7.93290553305344,8.97639729398252e-09,4.91584342063791e-06,10.1606400869685,"NTSR2"
2.77296450639848,11.879926127262,7.89916740052009,9.78438134523286e-09,5.22417932706125e-06,10.0783826417672,"DTNA"
2.2685403927833,9.47827975344422,7.88952626913028,1.00286240476408e-08,5.22417932706125e-06,10.0548474503687,"TSC22D2"
-2.57644599130198,8.80259132549455,-7.82865117782819,1.17211449048435e-08,5.96048125899163e-06,9.9059472704904,"BOLA2-SMG1P6"
-2.83396661942576,7.50218757849728,-7.81101396456082,1.22639590817532e-08,6.00231184123422e-06,9.86271138402134,"ECSIT"
-2.70997971504042,9.41496295715538,-7.80437012913072,1.24750167030514e-08,6.00231184123422e-06,9.84641360669851,"GPI"
-1.94023776396735,10.4310648546045,-7.79905571577632,1.26465040198305e-08,6.00231184123422e-06,9.83337263540658,"PFKM"
-2.33984803594151,10.5422799701226,-7.77162744790001,1.35705323005016e-08,6.12819786953424e-06,9.76600529728068,"LDOC1"
2.24180898502302,10.7105225106752,7.76661974706755,1.37465236169292e-08,6.12819786953424e-06,9.75369464406316,"SHTN1"
3.1328211272311,9.56522510932342,7.75871685438368,1.40290078672055e-08,6.12819786953424e-06,9.73425965223988,"SPP1"
2.34562382050301,10.2133623085046,7.75787493658821,1.40594482445537e-08,6.12819786953424e-06,9.73218868495951,"RPS3"
-4.59686518064393,6.54866840392356,-7.71541198074873,1.5685351698862e-08,6.70015483168587e-06,9.62761231627748,"CAMK1G"
-1.57887953587115,9.62478909534204,-7.68646653359677,1.69023328647562e-08,7.00220975866917e-06,9.55618626426125,"ADGRL3"
-2.6137660324345,9.3130841538075,-7.68126565488583,1.71309883644156e-08,7.00220975866917e-06,9.54334052708967,"CPNE6"
-2.16516424269726,10.3187876187478,-7.66961914320131,1.76545204554046e-08,7.00220975866917e-06,9.5145613819209,"ARHGAP32"
-3.98933501709248,4.77314781632529,-7.66306352249764,1.79563462720651e-08,7.00220975866917e-06,9.49835405921625,"ZNRD2"
-2.83861158714903,8.62408985690126,-7.65990289960649,1.81037362413616e-08,7.00220975866917e-06,9.49053805142435,"IDH3G"
-2.71837739913252,12.3475856150202,-7.65447848080689,1.83595723609642e-08,7.00220975866917e-06,9.4771206971279,"ALDOA"
-3.79923200715062,6.71852584386613,-7.64251085282536,1.89371134659575e-08,7.09576963870036e-06,9.44750466659958,"NADSYN1"
-3.45870369791706,7.87993540745857,-7.59663075866583,2.13281029206267e-08,7.85389003756457e-06,9.33378843877932,"CORO1A"
-2.13491957913797,12.7150699936972,-7.5841591517173,2.20296941344835e-08,7.97474927668303e-06,9.30282833563418,"DNM1"
-2.26290897763962,8.98380559258081,-7.56115557741528,2.33860280229378e-08,8.32464644189843e-06,9.24566894362116,"FLYWCH1"
2.08513673131119,10.5793450226104,7.53527193405422,2.50141985221671e-08,8.56430940532399e-06,9.18126930996313,"RSF1"
-2.44913206471015,8.43684721036176,-7.53493723473993,2.50359915256691e-08,8.56430940532399e-06,9.18043598362576,"LIN37"
-1.94602835901274,10.3163197942988,-7.53147949731312,2.52622667167062e-08,8.56430940532399e-06,9.17182612668671,"MAST3"
-3.02601090862745,10.6869729367627,-7.51294308651691,2.65112778181097e-08,8.84731049436231e-06,9.12564311411194,"MIF"
2.52710212940859,10.0864276898616,7.50010977066726,2.74126687984356e-08,9.0073812337998e-06,9.09364274740116,"PRDX6"
1.83559426511999,11.8741266549653,7.4902217900211,2.81284155388577e-08,9.04671392013362e-06,9.06897194623044,"MOSMO"
-1.62484741480568,11.940314736478,-7.48681334284706,2.83795220830112e-08,9.04671392013362e-06,9.06046480156023,"NRCAM"
-3.32345017701067,9.22679788547893,-7.45982428735398,3.04501584425495e-08,9.56403652964664e-06,8.99304918188708,"TECR"
-1.98995850000588,10.2085620317869,-7.45167419242956,3.11051895299327e-08,9.62818315913482e-06,8.97267248530002,"PPME1"
-3.10753894139956,8.45655802474885,-7.39620078113917,3.59615699562795e-08,1.09723887303745e-05,8.83375008011748,"LINC03025"
-3.30941719397891,5.55480432947703,-7.38319461080055,3.7207787518747e-08,1.11927313496535e-05,8.80112114338618,"TMEM191A"
-2.27827175266695,8.99517300609795,-7.3763120276644,3.78849456679061e-08,1.12381481885436e-05,8.78384582177244,"NMRAL1"
-2.95065857956646,8.92832310475249,-7.32148614278706,4.37470464629657e-08,1.26807456899288e-05,8.6460161920971,"RBP4"
-1.56753481110066,10.470747857593,-7.30885173589153,4.52240265416472e-08,1.26807456899288e-05,8.6141996648177,"IFT25"
-2.52388140464895,8.31441565052911,-7.30842718409361,4.52745286366659e-08,1.26807456899288e-05,8.61313018834231,"TUBG1"
2.13952602576232,10.6471587684755,7.3063284502652,4.55250250168778e-08,1.26807456899288e-05,8.60784299197161,"KIF5B"
-2.30194458760711,8.87947981151869,-7.30473040093028,4.57167065326585e-08,1.26807456899288e-05,8.60381676203242,"NPDC1"
3.64149376873207,8.12377762055556,7.29461514121044,4.69491911804497e-08,1.2855651605539e-05,8.57832422754782,"C21orf91"
-2.06754128606333,8.00341988186001,-7.28117642702514,4.86390635706796e-08,1.31497863258554e-05,8.54443593479313,"ATP13A1"
-3.54468941020594,9.70856960090316,-7.23419146736197,5.50489264601079e-08,1.46301950050213e-05,8.42577614612689,"MED25"
-4.68204211916214,7.45808136323652,-7.22623149222859,5.6217072318925e-08,1.46301950050213e-05,8.40564603426096,"ACTL6B"
-1.87369138501767,9.22306293476906,-7.22204895053869,5.6840938118851e-08,1.46301950050213e-05,8.39506557759593,"LSM14A"
-2.35794281292866,9.48289250179842,-7.22195612148017,5.68548640049053e-08,1.46301950050213e-05,8.39483072591068,"UTP4"
-2.10714266128691,10.4192755771364,-7.21739002448997,5.75441520191247e-08,1.46312857002913e-05,8.38327746661421,"ATP5MC1"
2.35549702145377,8.1740145682029,7.20455108553017,5.95281665391938e-08,1.49576774228718e-05,8.35077818789061,"AIF1L"
-2.32649584364689,7.18923458412974,-7.19164616307048,6.15924881388694e-08,1.5296422810116e-05,8.31809133274632,"PDK2"
-2.40079919538345,8.82311919469811,-7.18443848466371,6.27769769549107e-08,1.54113870552067e-05,8.29982607191213,"NDUFS7"
-4.02289535473585,6.1773250179306,-7.17921782789118,6.36493602870924e-08,1.54479890569514e-05,8.28659220489072,"IFT122"
-2.14652203637611,8.90398748734692,-7.16340609916972,6.63674516791491e-08,1.59101254105755e-05,8.24649054641991,"CPT1C"
-2.04565525053052,9.03535157820487,-7.15957657606548,6.7043322733954e-08,1.59101254105755e-05,8.23677350896958,"OXLD1"
-1.86380429426578,10.0334935651513,-7.15090721415917,6.85993343443943e-08,1.6100489922281e-05,8.21476922779956,"MRPL9"
-2.31697624084258,8.23546714042698,-7.1391405874715,7.07701507512648e-08,1.62129893756031e-05,8.18488889036983,"COL24A1"
-1.85654053620478,9.4070805325794,-7.13528738191989,7.1496095913771e-08,1.62129893756031e-05,8.17510033804765,"PLPBP"
-2.12278667053409,11.3564861381597,-7.13163610600874,7.21909794933494e-08,1.62129893756031e-05,8.16582309368654,"USP11"
2.13695619497029,7.9150329967268,7.12845556799983,7.2801866551875e-08,1.62129893756031e-05,8.15774058989105,"CWF19L2"
-2.10690299710649,10.6347392254451,-7.12808081061664,7.28741914064002e-08,1.62129893756031e-05,8.15678816126908,"ATP5MF"
-1.87640917787757,9.71805291326116,-7.11694997150872,7.5055959907584e-08,1.64361834788123e-05,8.12849187532741,"ATP9B"
2.49474841466803,7.10106372848208,7.1151422004187,7.54165175074261e-08,1.64361834788123e-05,8.12389482852241,"OSMR"
2.40283144940916,8.70702494360586,7.09879942273061,7.87570044980809e-08,1.69043330903418e-05,8.08231824996713,"PALLD"
1.92277780863463,10.7174222384708,7.09693491094943,7.91475470097474e-08,1.69043330903418e-05,8.0775728199194,"BCL6"
-2.79606257570162,10.4035509516995,-7.08086581632878,8.25960161546171e-08,1.7466195178518e-05,8.03665749737508,"GABRA2"
1.99108318299245,8.69109726555302,7.06297779078063,8.66147819386319e-08,1.81364560063265e-05,7.99107434878986,"FGF1"
-3.65331625613129,6.73686611510848,-7.05504331378857,8.8460416358185e-08,1.83430832289137e-05,7.97084307658952,"MAST1"
-2.64925900918142,7.60576125458207,-7.04923570549582,8.9836599644032e-08,1.8449327838435e-05,7.95603012193474,"LRRC41"
-3.09406902384373,8.67021952088306,-7.02098837316658,9.68467958738032e-08,1.96995606311685e-05,7.88392502207809,"GBA1LP"
-1.91314752304853,10.0037441936221,-7.01701305995316,9.78770107106805e-08,1.97212942901766e-05,7.87376992315749,"ASMTL"
2.12878746196528,8.97455600038647,7.0097089335815,9.97990010863763e-08,1.98374415315909e-05,7.85510637902952,"LIFR"
3.04708446895941,4.57844452255814,7.00778704037087,1.00311063086985e-07,1.98374415315909e-05,7.85019450284137,"BPIFA1"
1.97058480100405,9.18249858204195,6.99839283389269,1.02852680524754e-07,1.99480301757354e-05,7.82617902306267,"LINC00674"
1.72321625962175,8.95884480973005,6.99764090441036,1.03058921503034e-07,1.99480301757354e-05,7.82425633220323,"SIK2"
-1.4903277742416,9.18263047965091,-6.99541387482897,1.03672223499701e-07,1.99480301757354e-05,7.81856140729215,"ADSL"
2.05989738511199,10.3646779132826,6.99021612290443,1.05118092398731e-07,2.00082135979138e-05,7.80526753682925,"DNAJC1"
-1.69784064986291,9.1225372833339,-6.98758208863522,1.05858607386659e-07,2.00082135979138e-05,7.79852947247068,"ABCC8"
-1.96818393795287,8.53861934805578,-6.98377131331958,1.06939329621627e-07,2.00351772110413e-05,7.78877977703873,"LYNX1"
-1.89894852871414,9.88818694380579,-6.97318916298877,1.09999512286423e-07,2.02795360726342e-05,7.76169693553169,"SAMM50"
-2.78816694402058,8.74736551029383,-6.97270162107638,1.1014262498481e-07,2.02795360726342e-05,7.76044885750214,"NPTXR"
1.85329375202702,9.69193692735967,6.95569852874067,1.15253770376022e-07,2.10392310059067e-05,7.716904674553,"USP47"
2.48893337949576,9.0201826705659,6.95131046144347,1.16611491585148e-07,2.11066799769118e-05,7.70566157979829,"LOC105369228"
-2.13627580986327,9.28237280402821,-6.93824015974393,1.20752601160515e-07,2.14779350565813e-05,7.67215969653453,"F8A1"
-3.32509660886449,5.07640958395193,-6.93544524252359,1.21657326471797e-07,2.14779350565813e-05,7.66499318848621,"MAD1L1"
-2.28133508368557,9.72374070370269,-6.93537709746648,1.21679471010691e-07,2.14779350565813e-05,7.66481844502651,"ABHD14A"
-2.90485698204268,7.59602276990906,-6.91461909096681,1.2861914947276e-07,2.25167852003213e-05,7.61156412932491,"RAPGEFL1"
-1.71145821590705,10.0841322381676,-6.9102650673295,1.30125000230987e-07,2.25952012596212e-05,7.60038768975803,"FAHD2A"
2.97669014634959,9.50138135550351,6.89865042626232,1.34230091153351e-07,2.31200507004296e-05,7.57056322359331,"NOTCH2NLA"
-2.15875249978979,9.0709784868423,-6.88220714569289,1.40267691515836e-07,2.39666988431618e-05,7.52831336880926,"ARHGDIA"
2.17021691035051,9.91102356473542,6.87813693914136,1.41804274942565e-07,2.40369500335182e-05,7.51785052546223,"EPC1"
1.88493703923255,8.59985929171049,6.86689577988202,1.46137372921611e-07,2.45763937862974e-05,7.48894435913154,"SGK1"
-2.76124186079538,9.4455904415821,-6.85695629625274,1.50080554910145e-07,2.49570712869184e-05,7.46337353553363,"TUBB4A"
2.18427837619547,9.0885877573179,6.85452808845145,1.51060173223131e-07,2.49570712869184e-05,7.45712491644248,"TXNIP"
