"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.00770562095369e-17,1.00385281047685e-15,1.07686819261983,0.512707491867369,2.57503026830767,200,"CD44;ABCA1;CEBPB;ZFP36;EFNA1;MAFF;TIPARP;SOCS3;CXCL2;F3;NFKBIA;NFE2L2;TNC;PFKFB3;ACKR3;BCL6;KYNU;SGK1;GADD45A;BCL2A1;TAP1;CCN1;IL23A;ATF3;NR4A2;GADD45B;NFIL3;KLF2;IL6;TNFAIP8;SDC4;EHD1;SERPINB8;DRAM1;F2RL1;FOS;STAT5A;DENND5A;MAP2K3;CXCL6;KLF4;CCL2;NFAT5;CXCL10;TNFAIP3;MCL1;INHBA;BMP2;PMEPA1;TRIP10;TNFAIP2;GEM;JUN;TNFAIP6;LIF;IRS2;PDLIM5;KLF6;PLAUR;CXCL3;CD69;RHOB;IRF1;ICAM1;CSF1;LITAF;NFKB1;IER2;SPHK1;LDLR;ZBTB10;TANK;G0S2;FOSL2;CCND1;TNF;TLR2;CCL4;CEBPD;PLPP3;IL7R;CD80;CDKN1A;TNFRSF9;PLEK;KLF9;ID2;DUSP1;MAP3K8;TGIF1;CCRL2;BTG2;SPSB1;PHLDA1;TNFSF9"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",8.76433546699469e-11,1.46072257783245e-09,0.839088935621274,0.434593768401766,2.1827106601788,200,"CD44;SPP1;FGF2;VCAN;TNC;GREM1;FN1;TGFBR3;GADD45A;CCN1;ITGB5;ITGAV;CXCL8;GADD45B;TNFRSF11B;FSTL1;MYL9;IL6;SDC4;PDGFRB;DPYSL3;NOTCH2;THBS2;CXCL6;MMP14;ELN;TNFAIP3;FZD8;SDC1;IGFBP3;VCAM1;SFRP1;INHBA;ECM2;COL8A2;NTM;PMEPA1;PRRX1;TIMP3;GEM;SERPINE2;JUN;VIM;COL1A2;DST;PLAUR;FERMT2;RHOB;COL1A1;MATN2;OXTR;CDH6;TGM2;MCM7;CALD1;SPARC;CCN2;GAS1;FMOD;LAMC2;CDH2;TGFBI;ITGA5"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.94005793509499e-06,1.38575566792499e-05,0.627256739718528,0.478772516777311,2.08087408802235,87,"CD44;OSMR;SOCS3;IL13RA1;TNFRSF1A;CSF2RB;IL7;LEPR;A2M;IL6;IL1R1;IL2RG;PTPN2;CXCL10;PIM1;STAT2;IL4R;JUN;TNFRSF1B;CXCL3;IRF1;CSF1;CD9;STAT3;MYD88;TNF;HMOX1;TLR2;ACVRL1;ITGB3;PF4;MAP3K8;PTPN11;STAM2;IFNGR1;IL17RB;IL17RA;IL6ST;CSF2RA;CXCL1;ACVR1B;IL9R;PTPN1"
"HALLMARK_INFLAMMATORY_RESPONSE",4.29903268192481e-09,5.37379085240601e-08,0.761460801445585,0.408379843136992,2.05105342466212,200,"APLNR;ABCA1;LPAR1;SLC7A2;OSMR;F3;NFKBIA;STAB1;KCNJ2;RTP4;PDPN;OSM;SLAMF1;ITGB8;CXCL8;ADM;IL6;CLEC5A;BST2;CXCL6;IL1R1;SLC31A2;CCL2;MMP14;CXCL10;FZD5;SELENOS;ADORA2B;INHBA;IL4R;P2RX7;RGS16;TNFAIP6;LIF;TNFRSF1B;PTAFR;KLF6;PLAUR;CD69;RGS1;IRF1;ICAM1;CSF1;NFKB1;EREG;BEST1;SPHK1;LDLR;C5AR1;GNAI3;RNF144B;HRH1;TLR2;RASGRP1;ITGA5;DCBLD2;KIF1B;GP1BA;IL7R;MEP1A;CDKN1A;IFITM1;TNFRSF9;ITGB3;SELE;TLR1;CCRL2;BTG2;TNFSF9;CD40;SGMS2;CD48;SLC11A2"
"HALLMARK_TGF_BETA_SIGNALING",6.27016249298938e-05,0.000261256770541224,0.538434096309916,0.510919797651817,2.03275088634921,54,"HIPK2;TGFBR1;WWTR1;XIAP;ID3;ENG;TJP1;APC;BMP2;PMEPA1;ARID4B;MAP3K7;SKIL;CDKN1C;SPTBN1;SMAD1;UBE2D3;ID2;BCAR3;RAB31;TGIF1;CDH1;ID1;SMAD6;NOG;SLC20A1;HDAC1"
"HALLMARK_KRAS_SIGNALING_UP",4.27565698475437e-08,4.27565698475437e-07,0.719512826338911,0.390084033013452,1.9591642566694,200,"SPP1;SERPINA3;EMP1;ADGRL4;PECAM1;NR0B2;ABCB1;SOX9;CA2;CFB;MPZL2;F13A1;ST6GAL1;SEMA3B;F2RL1;MMP10;ATG10;ETS1;ALDH1A2;KLF4;IL2RG;CXCL10;TNFAIP3;ENG;IGFBP3;WDR33;INHBA;BMP2;ANGPTL4;PRRX1;RGS16;LAPTM5;LIF;TNFRSF1B;CXCR4;PLAUR;USP12;TFPI;CFHR2;GNG11;EREG;MAFB;GPRC5B;LAT2;IL1RL2;HSD11B1;USH1C;PRELID3B;CDADC1;NR1H4;LY96;G0S2;DCBLD2;TMEM176A;ADAMDEC1;MAP3K1;RELN;IL7R;TOR1AIP2;ADAM17;ID2"
"HALLMARK_IL2_STAT5_SIGNALING",1.90095272193975e-07,1.58412726828313e-06,0.690132458796796,0.384896552156659,1.9322513907874,199,"CD44;SPP1;HIPK2;HK2;EMP1;PLSCR1;AHNAK;NFKBIZ;MAFF;IGF1R;NDRG1;ITGAV;LRIG1;GADD45B;NFIL3;ABCB1;CA2;IL1RL1;GPR65;MAPKAPK2;DENND5A;CXCL10;ITIH5;IKZF2;PIM1;P4HA1;MYO1C;IL4R;BCL2;BMP2;RGS16;LIF;TNFRSF1B;KLF6;CDKN1C;RRAGD;RHOB;CSF1;IRF6;PLIN2;PRKCH;HUWE1;SELP;TGM2;ITGA6;EOMES;SLC29A2;SYNGR2;PRNP;TNFRSF9;TNFRSF18;COL6A1;NCOA3;MAP3K8;MAP6;PHLDA1;IFNGR1;ENPP1;PLPP1;CD48;UCK2;SHE;SELL;CCNE1;CYFIP1;CAPN3;TLR7;IRF4"
"HALLMARK_UV_RESPONSE_DN",4.18674475840334e-06,2.32596931022408e-05,0.610526878385931,0.397666549044268,1.90016948663975,143,"LPAR1;IGF1R;ATP2B4;F3;NEK7;MT1E;TGFBR3;CCN1;PIK3R3;PPARG;PDGFRB;NOTCH2;SDC2;KIT;RBPMS;TJP1;ADORA2B;DLC1;ATXN1;ADD3;COL1A2;PDLIM5;CELF2;TFPI;SPOP;NFIB;NFKB1;LTBP1;NR1D2;COL1A1;NIPBL;LDLR;CAV1;PIK3CD;SYNJ2;RND3;PLPP3;PLCB4;YTHDC1;CDKN1B;SFMBT1;ITGB3;DUSP1;PTPRM;LAMC1;IGFBP5;GJA1;ERBB2;ANXA2;ID1;CDK13;TENT4A;FZD2;PTPN21;SYNE1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.7365493582972e-06,1.71034334893575e-05,0.627256739718528,0.360261238327384,1.80938177792611,200,"FCGR1A;PLSCR1;MT2A;SOCS3;TXNIP;NFKBIA;MTHFD2;RNF213;CSF2RB;RTP4;TAP1;LATS2;IL7;PARP14;TMT1B;SPPL2A;IL6;CFB;IRF5;BST2;PNPT1;CCL2;CASP4;PTPN2;PELI1;CXCL10;TNFAIP3;PIM1;NLRC5;VCAM1;STAT2;IL4R;P2RY14;TNFAIP2;MX2;TNFAIP6;GBP6;OAS3;CD69;IRF1;KLRK1;CIITA;IFNAR2;GPR18;NOD1;ICAM1;STAT3;NFKB1;SELP;CASP7;C1S;RIPK1;MYD88;SAMHD1;EPSTI1;CD274;BATF2;CDKN1A;IFI27;NCOA3;PARP12;PSMB9;TRIM26;OAS2;TRIM25;CD40;B2M;TDRD7;RAPGEF6;IRF2;IFI30;ISG20;TRIM21;BTG1;IRF4;IFI44"
"HALLMARK_HYPOXIA",5.00758135002963e-06,2.50379067501482e-05,0.610526878385931,0.355164319541123,1.78378293188248,200,"HK2;DTNA;CP;ZFP36;EFNA1;MT2A;MAFF;TIPARP;NDRG1;F3;PFKFB3;ACKR3;MT1E;DDIT4;CCN1;AK4;TES;ATF3;TGFB3;WSB1;NFIL3;ADM;IL6;SDC4;FOS;SDC2;ETS1;PPP1R3C;ERRFI1;TNFAIP3;PIM1;P4HA1;IGFBP3;ADORA2B;BCL2;ANGPTL4;JUN;ZNF292;IRS2;HSPA5;KLF6;CXCR4;SLC2A1;PLAUR;CDKN1C;RRAGD;MXI1;VHL;PLIN2;NOCT;PLAC8;STC1;CCNG2;TGM2;CAV1;CCN2;FOSL2;HMOX1;TGFBI;P4HA2;MAP3K1;CDKN1A;CDKN1B;DUSP1;LOX;XPNPEP1;PCK1;CASP6"
