"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_UV_RESPONSE_DN",4.83505722043719e-10,8.05842870072865e-09,0.801215574617779,0.521242318381823,2.24583720378588,143,"GJA1;ADD3;CACNA1A;IGFBP5;PLPP3;CDC42BPA;TJP1;PDLIM5;CDK13;TGFBR3;NOTCH2;PMP22;COL1A2;CAV1;MT1E;DUSP1;NR3C1;TGFBR2;NFIB;F3;NEK7;SDC2;COL11A1;LPAR1;RBPMS;IGF1R;COL3A1;PDGFRB;CELF2;PLCB4;EFEMP1;PIAS3;ANXA2;DDAH1;ATXN1;LAMC1;SRI;NIPBL;MGLL;NR1D2;DLC1;FYN;ATP2B4;RASA2;MAP1B;ATP2B1;PRKCA;RUNX1;MRPS31;MTA1"
"HALLMARK_HYPOXIA",1.40799949398566e-11,7.0399974699283e-10,0.875325132024659,0.485152212935081,2.18374239691642,200,"DTNA;CXCR4;MAFF;MT2A;ACKR3;MXI1;GCNT2;SDC3;DDIT4;CAVIN3;BCL2;AK4;ANGPTL4;EGFR;CAV1;PGF;MT1E;CCNG2;ENO3;RBPJ;DUSP1;NR3C1;KLF6;SDC4;F3;JMJD6;DCN;KIF5A;SDC2;KLF7;SLC2A1;DPYSL4;ATF3;BGN;PFKFB3;TGM2;LALBA;ZFP36;SCARB1;BTG1;CSRP2;TES;NCAN;SLC37A4;ANXA2;TGFB3;TMEM45A;KLHL24;PGM1;NOCT;WSB1;ANKZF1;IDS;SULT2B1;SELENBP1;GPC4;PRKCA;TIPARP;CDKN1A;ZNF292;SLC6A6;COL5A1;IER3;CCN2;JUN;EFNA1;GPC1;HK2;HEXA;B3GALT6;PYGM;PLIN2;NDST2;RORA;HSPA5;ALDOA;HDLBP;CDKN1C;SAP30;CDKN1B;S100A4;EDN2;VEGFA;NDRG1"
"HALLMARK_TGF_BETA_SIGNALING",7.15710959336444e-07,4.84568277618418e-06,0.659444398037935,0.594311797526973,2.17603680176664,54,"ID3;HDAC1;HIPK2;RAB31;TJP1;WWTR1;SMAD6;ID2;BCAR3;SMURF2;SMAD1;XIAP;NCOR2;SKI;ENG;APC;SPTBN1;CDK9;BMPR1A;RHOA;JUNB;LTBP2;MAP3K7;FNTA;CDKN1C;CDH1;PMEPA1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",6.19615644343411e-11,1.54903911085853e-09,0.839088935621274,0.477606488320467,2.1497779661315,200,"TPM2;GJA1;ABI3BP;VCAN;LAMA1;VIM;TIMP3;COL5A3;MSX1;ACTA2;EFEMP2;MGP;TGFBR3;ID2;CXCL1;CD44;CADM1;ITGB5;PLOD2;FERMT2;FN1;NOTCH2;PMP22;COL1A2;CALD1;SPP1;SGCD;FLNA;PCOLCE;SDC4;ITGB1;COL16A1;ITGAV;SPARC;CDH2;TIMP1;LRP1;SERPINE2;DCN;TPM4;SLC6A8;GAS1;CXCL12;COL11A1;BGN;EMP3;TGM2;COL3A1;PDGFRB;GEM;ECM2;SAT1;RHOB;LAMC1;HTRA1;FBN2;SGCB;SERPINH1;TNC;MCM7;THBS2;MMP1;TNFRSF11B;PPIB;COL5A1;COL4A2;CCN2;JUN;FOXC2;GPC1;FSTL1;GADD45B;PDLIM4;THY1;MYLK"
"HALLMARK_APOPTOSIS",4.78228017095989e-09,5.0098325510446e-08,0.761460801445585,0.473857967591637,2.08588661768905,161,"IFITM3;TIMP3;TGFBR3;CD44;CAV1;LGALS3;HGF;CREBBP;EMP1;HSPB1;TXNIP;ADD1;FDXR;TIMP1;ERBB3;AIFM3;DCN;GSN;PDCD4;SATB1;BTG3;GSR;XIAP;ATF3;BGN;ANXA1;PMAIP1;CASP7;PEA15;CLU;PDGFRB;SAT1;TGFB2;RHOB;TNF;IFNGR1;WEE1;CCND1;MCL1;PLCB2;ROCK1;CDKN1A;BCL10;RHOT2;DFFA;APP;IER3;JUN;DNAJC3;GADD45B;TSPO;FEZ1;SQSTM1;PRF1;LEF1;NEFH;CASP9;LMNA;TAP1;CDKN1B;BTG2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",5.0098325510446e-09,5.0098325510446e-08,0.761460801445585,0.451982253684716,2.03443946808756,200,"FOXC1;GJA1;SLC7A2;ADD3;RAB31;IL17RB;MUC1;MINDY1;KLF4;TPD52L1;CD44;RHOBTB3;BCL2;TFAP2C;ABAT;TOB1;TUBB2B;XBP1;KDM4B;WWC1;PTGES;PODXL;ELOVL5;NAV2;MYOF;MICB;CXCL12;SVIL;LRIG1;SLC2A1;AFF1;PAPSS2;SLC16A1;PMAIP1;IGF1R;TGM2;NCOR2;AKAP1;ELF1;SCARB1;MAPT;BCL11B;PGR;IL6ST;CHPT1;CELSR1;DLC1;ITPK1;ADCY9;SULT2B1;PLAAT3;CCND1;SLC7A5;NHERF1;WFS1;ISG20L2;TIPARP;PDLIM3;FARP1;CALB2;FLNB;THSD4;HES1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.34019434893144e-06,1.17009717446572e-05,0.627256739718528,0.488443275144643,2.00014317496223,97,"IFITM3;IRF7;IFITM2;TRIM14;B2M;HLA-C;TXNIP;BATF2;PARP9;BST2;CNP;TRIM5;IL4R;IRF9;IFITM1;ELF1;IFIT2;STAT2;SP110;CXCL10;PARP14;PARP12;IFIT3;SAMD9;IFI27;PSME2;SLC25A28;OGFR;LGALS3BP;TRIM25;UBA7;MOV10;C1S;LPAR6;TENT5A;TAP1;CD74;OAS1;OASL;DDX60;IFI44L;RTP4;CSF1"
"HALLMARK_COAGULATION",2.72772485337885e-06,1.23987493335402e-05,0.627256739718528,0.449517948576888,1.93306824490668,138,"MAFF;PECAM1;TIMP3;FN1;A2M;CSRP1;LAMP2;CTSH;VWF;CAPN2;F3;MSRB2;CPN1;SPARC;P2RY1;SERPING1;TIMP1;LRP1;CTSB;GSN;KLF7;APOC1;THBD;CPQ;C8A;ANXA1;CLU;GNG12;SIRT2;HTRA1;TF;F10;FYN;RAPGEF3;CFH;CFI;MMP1;GNB2"
"HALLMARK_P53_PATHWAY",3.6354870640324e-07,3.02957255336033e-06,0.674962860011025,0.422586256351195,1.90212370415753,200,"ZFP36L1;MKNK2;DDIT4;STOM;SLC7A11;KLF4;TAX1BP3;TPD52L1;PLXNB2;RAD9A;POLH;MAPKAPK3;ABAT;TOB1;ZMAT3;H1-2;TXNIP;RHBDF2;RB1;FDXR;RPL18;CCNG1;S100A10;RRAD;RPL36;IRAK1;ZBTB16;ATF3;PIDD1;RALGDS;SP1;RAB40C;PITPNC1;NUPR1;NINJ1;ABHD4;ERCC5;BTG1;ALOX15B;CDKN2B;CD81;SAT1;NOTCH1;KIF13B;TSC22D1;SOCS1;ITGB4;DCXR;MXD4;RPS12;SESN1;CDKN1A;BLCAP;PRMT2;SERTAD3;APP;JAG2;IER3;JUN;VDR;RPS27L;ACVR1B;CCP110;AK1;ST14;APAF1;ABCC5;CDKN2AIP;TAP1;S100A4;ELP1;NDRG1;BTG2;TM4SF1;GM2A;CDK5R1;VAMP8;ADA;PERP"
"HALLMARK_ESTROGEN_RESPONSE_LATE",7.75309244189469e-07,4.84568277618418e-06,0.659444398037935,0.417201244560706,1.87788496373493,200,"FOXC1;PLXNB1;ADD3;SERPINA3;RAB31;IL17RB;FGFR3;KLF4;TPD52L1;ID2;CD44;GPER1;BCL2;TFAP2C;DNAJC1;CAV1;TOB1;EMP2;XBP1;CPE;ASCL1;DLG5;PTGES;ELOVL5;MYOF;CXCL14;SGK1;MICB;CXCL12;TST;PDCD4;BTG3;AFF1;PAPSS2;SLC16A1;NCOR2;ZFP36;SCARB1;MAPT;PGR;IL6ST;LSR;CHPT1;ITPK1;ATP2B4;SULT2B1;DCXR;PLAAT3;CCND1;SLC7A5;NHERF1;WFS1;PDLIM3;FARP1"
