"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099003","vesicle-mediated transport in synapse","77/2848","254/16355",0.303149606299213,1.74087493364593,5.46434201191031,2.68597955202289e-07,0.00162179445351142,0.00156889479307106,"AP2M1/LPAR1/DNM1/ARHGDIA/SYNGR3/STXBP1/CSPG5/CDK5/CPLX1/HPCA/VPS35/SH3GL1/BRSK2/STX1B/ATP6V1F/TOR1A/SLC4A8/SLC17A7/SYN3/CALY/NAPA/UNC13A/RIMS1/SLC17A6/RPH3A/RAB7A/PPP3R1/SYN1/ATP6V0D1/SCRN1/SYT7/RAB3GAP1/VAC14/ATP6V1G2/TPRG1L/NRXN1/AP3M2/ATP6V0C/AP3S2/PICALM/CPLX2/SEPTIN5/AP3B2/ARC/SLC32A1/SNCA/ATP6V1E1/STON2/SYT5/RABEP1/AMPH/MKLN1/TAMALIN/SH3GL2/DOC2A/SNCG/AP2S1/SNAP23/PIK3C3/FMR1/PIP5K1C/ITSN1/CALM1/SUSD4/DNAJC6/STON1/P2RX7/LRRK2/ATP6V1H/CALM3/CBLB/RAB3A/BRSK1/CDK5R1/PPFIA3/RPH3AL/BSN",77
"GO:0099504","synaptic vesicle cycle","65/2848","218/16355",0.298165137614679,1.71225099216576,4.86130029562569,4.13959908817032e-06,0.0124974496471862,0.0120898080738195,"AP2M1/LPAR1/DNM1/ARHGDIA/SYNGR3/STXBP1/CSPG5/CDK5/CPLX1/SH3GL1/BRSK2/STX1B/ATP6V1F/TOR1A/SLC4A8/SLC17A7/SYN3/NAPA/UNC13A/RIMS1/SLC17A6/RPH3A/RAB7A/PPP3R1/SYN1/ATP6V0D1/SCRN1/SYT7/RAB3GAP1/ATP6V1G2/TPRG1L/NRXN1/AP3M2/ATP6V0C/AP3S2/PICALM/CPLX2/SEPTIN5/AP3B2/SLC32A1/SNCA/ATP6V1E1/STON2/SYT5/AMPH/SH3GL2/DOC2A/SNCG/AP2S1/SNAP23/PIK3C3/FMR1/PIP5K1C/ITSN1/DNAJC6/STON1/P2RX7/LRRK2/ATP6V1H/RAB3A/BRSK1/CDK5R1/PPFIA3/RPH3AL/BSN",65
"GO:0031338","regulation of vesicle fusion","16/2848","33/16355",0.484848484848485,2.78430371127,4.71130913069299,3.97379813765186e-05,0.0790697941350953,0.0764906971035449,"CORO1A/STXBP1/CPLX1/ZNRF1/RPH3A/SYT7/ANKRD27/CPLX2/SNCA/SYT5/SYT3/DOC2A/ANXA1/RAB3A/SLAMF1/RPH3AL",16
"GO:0009199","ribonucleoside triphosphate metabolic process","68/2848","248/16355",0.274193548387097,1.57459111090975,4.18677819218496,5.23814469261976e-05,0.0790697941350953,0.0764906971035449,"BAD/GPI/PFKM/ALDOA/ATP5MC1/NDUFS7/ATP5MF/NDUFB4/ND6/ATP5F1D/TPI1/PFKFB3/HSPA1A/NDUFB7/AK4/HK2/NADK/NDUFV3/IMPDH2/NME7/ATP5F1B/UCKL1/NDUFS6/NDUFV1/ANTKMT/ALDOC/KAT2B/LDHA/PGM1/NDUFS1/ATP5F1C/AK1/PKM/NDUFB11/OLA1/HTR2A/DDIT4/ENO1/DNM1L/ATP6V0C/NDUFA7/RHOQ/GAPDH/PPARA/TREX1/NDUFA3/ATP1A2/SLC2A6/SRC/CTPS1/NDUFA10/HSPA1B/UCHL1/GIMAP7/NUDT2/STAT3/SIRT6/P2RX7/RPTOR/LRRK2/PGK1/NDUFB5/OGDHL/SDHB/UCP2/ABCC9/MLST8/NDUFS8",68
"GO:0046034","ATP metabolic process","61/2848","219/16355",0.278538812785388,1.59954434097789,4.10154954639146,7.63117432234702e-05,0.0803274746692313,0.0777073546380928,"BAD/GPI/PFKM/ALDOA/ATP5MC1/NDUFS7/ATP5MF/NDUFB4/ND6/ATP5F1D/TPI1/PFKFB3/HSPA1A/NDUFB7/AK4/HK2/NADK/NDUFV3/ATP5F1B/NDUFS6/NDUFV1/ANTKMT/ALDOC/KAT2B/LDHA/PGM1/NDUFS1/ATP5F1C/AK1/PKM/NDUFB11/OLA1/HTR2A/DDIT4/ENO1/DNM1L/ATP6V0C/NDUFA7/GAPDH/PPARA/TREX1/NDUFA3/ATP1A2/SLC2A6/SRC/NDUFA10/HSPA1B/UCHL1/NUDT2/STAT3/SIRT6/P2RX7/RPTOR/PGK1/NDUFB5/OGDHL/SDHB/UCP2/ABCC9/MLST8/NDUFS8",61
"GO:0009205","purine ribonucleoside triphosphate metabolic process","66/2848","242/16355",0.272727272727273,1.56617083758938,4.0744548964933,7.98219357428598e-05,0.0803274746692313,0.0777073546380928,"BAD/GPI/PFKM/ALDOA/ATP5MC1/NDUFS7/ATP5MF/NDUFB4/ND6/ATP5F1D/TPI1/PFKFB3/HSPA1A/NDUFB7/AK4/HK2/NADK/NDUFV3/IMPDH2/NME7/ATP5F1B/NDUFS6/NDUFV1/ANTKMT/ALDOC/KAT2B/LDHA/PGM1/NDUFS1/ATP5F1C/AK1/PKM/NDUFB11/OLA1/HTR2A/DDIT4/ENO1/DNM1L/ATP6V0C/NDUFA7/RHOQ/GAPDH/PPARA/TREX1/NDUFA3/ATP1A2/SLC2A6/SRC/NDUFA10/HSPA1B/UCHL1/GIMAP7/NUDT2/STAT3/SIRT6/P2RX7/RPTOR/LRRK2/PGK1/NDUFB5/OGDHL/SDHB/UCP2/ABCC9/MLST8/NDUFS8",66
"GO:0009144","purine nucleoside triphosphate metabolic process","66/2848","249/16355",0.265060240963855,1.52214193854068,3.81238667252806,0.000197419181450498,0.152864898124115,0.147878753803231,"BAD/GPI/PFKM/ALDOA/ATP5MC1/NDUFS7/ATP5MF/NDUFB4/ND6/ATP5F1D/TPI1/PFKFB3/HSPA1A/NDUFB7/AK4/HK2/NADK/NDUFV3/IMPDH2/NME7/ATP5F1B/NDUFS6/NDUFV1/ANTKMT/ALDOC/KAT2B/LDHA/PGM1/NDUFS1/ATP5F1C/AK1/PKM/NDUFB11/OLA1/HTR2A/DDIT4/ENO1/DNM1L/ATP6V0C/NDUFA7/RHOQ/GAPDH/PPARA/TREX1/NDUFA3/ATP1A2/SLC2A6/SRC/NDUFA10/HSPA1B/UCHL1/GIMAP7/NUDT2/STAT3/SIRT6/P2RX7/RPTOR/LRRK2/PGK1/NDUFB5/OGDHL/SDHB/UCP2/ABCC9/MLST8/NDUFS8",66
"GO:0009141","nucleoside triphosphate metabolic process","69/2848","264/16355",0.261363636363636,1.50091371935649,3.76769650130946,0.000224187853090248,0.152864898124115,0.147878753803231,"BAD/GPI/PFKM/ALDOA/ATP5MC1/NDUFS7/ATP5MF/NDUFB4/ND6/ATP5F1D/DCTPP1/TPI1/PFKFB3/HSPA1A/NDUFB7/AK4/HK2/NADK/NDUFV3/IMPDH2/NME7/ATP5F1B/UCKL1/NDUFS6/NDUFV1/ANTKMT/ALDOC/KAT2B/LDHA/PGM1/NDUFS1/ATP5F1C/AK1/PKM/NDUFB11/OLA1/HTR2A/DDIT4/ENO1/DNM1L/ATP6V0C/NDUFA7/RHOQ/GAPDH/PPARA/TREX1/NDUFA3/ATP1A2/SLC2A6/SRC/CTPS1/NDUFA10/HSPA1B/UCHL1/GIMAP7/NUDT2/STAT3/SIRT6/P2RX7/RPTOR/LRRK2/PGK1/NDUFB5/OGDHL/SDHB/UCP2/ABCC9/MLST8/NDUFS8",69
"GO:0007269","neurotransmitter secretion","42/2848","143/16355",0.293706293706294,1.68664551740394,3.78690883075611,0.000279932049964654,0.152864898124115,0.147878753803231,"ABCC8/SYNGR3/STXBP1/CSPG5/CDK5/CPLX1/STX1B/SLC38A2/SLC4A8/NAPA/UNC13A/RIMS1/RPH3A/SYN1/PNKD/SYT7/RAB3GAP1/TPRG1L/NRXN1/CPLX2/SEPTIN5/LIN7B/LIN7C/SLC32A1/SNCA/SYT5/DOC2A/SNCG/SNAP23/FMR1/PIP5K1C/NRXN2/BAIAP3/GPER1/P2RX7/LRRK2/ADORA2A/SLC30A1/RAB3A/BRSK1/PPFIA3/RPH3AL",42
"GO:0099643","signal release from synapse","42/2848","143/16355",0.293706293706294,1.68664551740394,3.78690883075611,0.000279932049964654,0.152864898124115,0.147878753803231,"ABCC8/SYNGR3/STXBP1/CSPG5/CDK5/CPLX1/STX1B/SLC38A2/SLC4A8/NAPA/UNC13A/RIMS1/RPH3A/SYN1/PNKD/SYT7/RAB3GAP1/TPRG1L/NRXN1/CPLX2/SEPTIN5/LIN7B/LIN7C/SLC32A1/SNCA/SYT5/DOC2A/SNCG/SNAP23/FMR1/PIP5K1C/NRXN2/BAIAP3/GPER1/P2RX7/LRRK2/ADORA2A/SLC30A1/RAB3A/BRSK1/PPFIA3/RPH3AL",42
"GO:0046622","positive regulation of organ growth","18/2848","45/16355",0.4,2.29705056179775,4.00072519985769,0.000292822849080121,0.152864898124115,0.147878753803231,"FGFR2/ACACB/TGFBR3/YAP1/FGF9/FGF2/YBX3/ERBB4/GLI1/FGF8/AKT1/ARX/SMO/PIM1/IL7/PARP2/CACNA2D2/BMP10",18
"GO:0048857","neural nucleus development","24/2848","68/16355",0.352941176470588,2.02680931923331,3.89606549557443,0.000303805693522587,0.152864898124115,0.147878753803231,"G6PD/SYNGR3/PLP1/CNP/NDRG2/LDHA/INA/LARGE1/FGF9/FGF2/KIRREL3/NFIB/BCL2/MAOB/GNB4/MBP/CALM1/CALM3/ARX/HSPA5/FOXP2/CDK5R1/PHOX2B/PADI2",24
"GO:0051348","negative regulation of transferase activity","49/2848","177/16355",0.27683615819209,1.58976663175268,3.62248798745067,0.000430573267390639,0.176810496753148,0.171043295354547,"GBA1/TSC2/PDPK1/WWTR1/ZGPAT/MIDN/TESK1/LATS1/ZFP36/MEN1/KAT2B/PNKP/HIPK3/NPRL2/RPL23/BANF1/PTPN2/DTX3L/THY1/MAPK8IP1/RB1/XRCC1/CHORDC1/CDKN1C/NPM1/IRS2/PHPT1/LATS2/SNCA/ERRFI1/SOCS4/CEP43/IPO7/PTK6/UCHL1/PAK2/HEXIM2/GADD45A/PPM1E/SFN/AKT1/SERPINB3/DUSP10/HSPB1/STK38/CEP85/NR2F2/APC/CHMP6",49
"GO:0071280","cellular response to copper ion","11/2848","22/16355",0.5,2.87131320224719,4.03299218286463,0.000467294763468434,0.176810496753148,0.171043295354547,"MT2A/NFE2L2/MT1X/MT1E/MT1F/MT1M/MT1H/MT1G/SNCA/AQP2/MT1HL1",11
