"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010273","detoxification of copper ion","8/750","13/16355",0.615384615384615,13.4194871794872,9.82049725243604,1.97695706995996e-08,4.91375248582475e-05,4.28956162072441e-05,"MT1M/MT1F/MT2A/MT1G/MT1X/MT1H/MT1E/MT1HL1",8
"GO:1990169","stress response to copper ion","8/750","13/16355",0.615384615384615,13.4194871794872,9.82049725243604,1.97695706995996e-08,4.91375248582475e-05,4.28956162072441e-05,"MT1M/MT1F/MT2A/MT1G/MT1X/MT1H/MT1E/MT1HL1",8
"GO:0072073","kidney epithelium development","25/750","153/16355",0.163398692810458,3.56318082788671,6.98315029684982,2.95652977486447e-08,4.91375248582475e-05,4.28956162072441e-05,"FOXC1/LZTS2/NOTCH2/PTCH1/KANK2/PECAM1/LAMB2/SMAD1/KLF15/CAT/WWTR1/AGT/EDNRB/FOXD1/SOX9/BCL2/SMAD5/PODXL/BMPER/BMP7/YAP1/SMAD6/SALL1/SDC4/DCHS1",25
"GO:0061687","detoxification of inorganic compound","9/750","20/16355",0.45,9.813,8.64549652267621,9.1060083231595e-08,0.000113506393748183,9.9087748463854e-05,"MT1M/MT1F/MT2A/MT1G/MT1X/MT1H/CAT/MT1E/MT1HL1",9
"GO:0071560","cellular response to transforming growth factor beta stimulus","33/750","260/16355",0.126923076923077,2.76776923076923,6.29908539226965,1.15703404381921e-07,0.000115379434849652,0.000100722858340893,"ZFP36L1/ITGB5/ACVRL1/ZFP36L2/TGFBR3/HIPK2/HDAC1/GCNT2/XBP1/SMURF2/SMAD1/PRDM16/PPARA/FERMT2/NFATC1/SOX9/LATS2/ITGB8/SMAD5/RBBP4/STAT3/TGFB1I1/SOX5/SMAD6/STK11/YES1/COL1A2/ZBTB7A/GLG1/LRRC32/CAV1/ASPN/CLDN5",33
"GO:0071294","cellular response to zinc ion","9/750","21/16355",0.428571428571429,9.34571428571429,8.38952990134681,1.52881418514181e-07,0.000127044458785285,0.000110906081676516,"HVCN1/MT1M/MT1F/MT2A/MT1G/MT1X/MT1H/MT1E/MT1HL1",9
"GO:0071559","response to transforming growth factor beta","33/750","267/16355",0.123595505617978,2.69520599250936,6.12262728721494,2.17117446092141e-07,0.000154649655173631,0.000135004607457294,"ZFP36L1/ITGB5/ACVRL1/ZFP36L2/TGFBR3/HIPK2/HDAC1/GCNT2/XBP1/SMURF2/SMAD1/PRDM16/PPARA/FERMT2/NFATC1/SOX9/LATS2/ITGB8/SMAD5/RBBP4/STAT3/TGFB1I1/SOX5/SMAD6/STK11/YES1/COL1A2/ZBTB7A/GLG1/LRRC32/CAV1/ASPN/CLDN5",33
"GO:0097501","stress response to metal ion","8/750","18/16355",0.444444444444444,9.69185185185185,8.08859620498282,5.47463431229275e-07,0.000334779762382363,0.000292252901271153,"MT1M/MT1F/MT2A/MT1G/MT1X/MT1H/MT1E/MT1HL1",8
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","39/750","361/16355",0.10803324099723,2.35584487534626,5.71078487966774,6.19081497975605e-07,0.000334779762382363,0.000292252901271153,"ITGB5/ACVRL1/NOTCH2/NFIA/TGFBR3/HIPK2/HDAC1/SCUBE3/GCNT2/XBP1/TOB1/SMURF2/SMAD1/WWTR1/PRDM16/MSX1/FOXD1/PPARA/FERMT2/LATS2/ITGB8/SMAD5/RBBP4/STAT3/TGFB1I1/BMPER/BMP7/LRP1/SMAD6/STK11/NOMO3/COL1A2/GPR155/ZBTB7A/GLG1/LRRC32/CAV1/ASPN/CLDN5",39
"GO:2000736","regulation of stem cell differentiation","16/750","81/16355",0.197530864197531,4.30748971193416,6.5419104886587,6.71439555520182e-07,0.000334779762382363,0.000292252901271153,"FOXC1/PTN/ZFP36L2/TBX3/HDAC1/SOX9/CDK13/RBBP4/PDGFRA/STAT3/SOX5/YAP1/BBS12/REST/TEAD2/MBD3",16
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","37/750","340/16355",0.108823529411765,2.37307843137255,5.60895652914571,1.0066498244337e-06,0.000456286911329675,0.000398325074070177,"ITGB5/ACVRL1/NOTCH2/NFIA/TGFBR3/HIPK2/HDAC1/SCUBE3/GCNT2/XBP1/TOB1/SMURF2/SMAD1/PRDM16/MSX1/FOXD1/PPARA/FERMT2/LATS2/ITGB8/SMAD5/RBBP4/STAT3/TGFB1I1/BMPER/BMP7/SMAD6/STK11/NOMO3/COL1A2/GPR155/ZBTB7A/GLG1/LRRC32/CAV1/ASPN/CLDN5",37
"GO:0010001","glial cell differentiation","31/750","261/16355",0.118773946360153,2.59006385696041,5.67693031201356,1.20314218718601e-06,0.000499905578775786,0.000436402889825802,"GFAP/PTN/VIM/VCAN/SOX2/KCNJ10/NFIA/POU3F2/CXCR4/HDAC1/EGFR/NR2E1/ID4/LAMB2/KLF15/PTPRZ1/PARD3/ARSG/SOX9/ASCL1/STAT3/NTRK2/PLPP3/NFIB/LRP1/QKI/ADORA2A/OLIG1/COL6A1/PLEC/ID2",31
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","33/750","296/16355",0.111486486486486,2.43114864864865,5.44731002561861,2.27232276473188e-06,0.000823823493198632,0.000719173716802065,"ZFP36L1/GPER1/UNC5B/FN1/EGFR/CCDC88A/GCNT2/XBP1/FGFR3/PREX2/PLXNB1/CAT/AGT/PPARA/FERMT2/CBL/DDR1/LIME1/IGFBP5/PDGFRA/AKR1C3/STAT3/NTRK2/PDCD6/STK11/CAVIN3/FGR/MERTK/PIK3R2/COL6A1/CHI3L1/DCN/PPP1R16B",33
"GO:0060485","mesenchyme development","34/750","310/16355",0.109677419354839,2.39169892473118,5.42334234416634,2.31318269249516e-06,0.000823823493198632,0.000719173716802065,"ZFP36L1/FOXC1/ACVRL1/TGFBR3/TBX3/FN1/GCNT2/POLR1B/WWTR1/AGT/TASOR/MSX1/EDNRB/FOXD1/FERMT2/RGCC/SEMA3F/SOX9/BCL2/HEY2/TGFB1I1/BMP7/ZFPM2/PDCD6/YAP1/QKI/NOMO3/TEAD2/SEMA4G/EMP2/DCHS1/SEMA4C/USF3/FLNA",34
"GO:0007179","transforming growth factor beta receptor signaling pathway","26/750","207/16355",0.1256038647343,2.73900161030596,5.51996759768438,3.07715128513464e-06,0.00102284508717875,0.0008929137237917,"ITGB5/ACVRL1/TGFBR3/HIPK2/HDAC1/GCNT2/XBP1/SMURF2/SMAD1/PRDM16/PPARA/FERMT2/LATS2/ITGB8/SMAD5/RBBP4/STAT3/TGFB1I1/SMAD6/STK11/COL1A2/ZBTB7A/GLG1/LRRC32/ASPN/CLDN5",26
"GO:0071280","cellular response to copper ion","8/750","22/16355",0.363636363636364,7.92969696969697,7.13022681196891,3.39628358187623e-06,0.00105836687120218,0.000923923198095936,"MT1M/MT1F/MT2A/MT1G/MT1X/MT1H/MT1E/MT1HL1",8
"GO:1903053","regulation of extracellular matrix organization","13/750","64/16355",0.203125,4.42947916666667,6.02635936464154,5.37676557599079e-06,0.0015769737154053,0.00137665174345027,"TGFBR3/LAMB2/AGT/RGCC/DDR1/SOX9/EFEMP2/NID1/LRP1/ANTXR1/TNFRSF1A/LAMA1/COL6A1",13
"GO:0071276","cellular response to cadmium ion","8/750","24/16355",0.333333333333333,7.26888888888889,6.73752742108666,7.19818127708597e-06,0.00199389621375281,0.00174061284097956,"MT1M/MT1F/MT2A/MT1G/MT1X/MT1H/MT1E/MT1HL1",8
"GO:0045444","fat cell differentiation","27/750","233/16355",0.11587982832618,2.52695278969957,5.14641558719056,9.20987070365216e-06,0.00241686396465314,0.00210985126645993,"ZFP36L1/GPER1/ZFP36L2/XBP1/ID4/FOXO1/CEBPB/WWTR1/ADIRF/PRDM16/RGS2/KLF4/FERMT2/CEBPD/PDGFRA/TGFB1I1/BMP7/SAV1/ZFPM2/YAP1/SMAD6/BBS12/ALDH6A1/ZBTB7A/TFE3/LAMB3/ID2",27
"GO:0007015","actin filament organization","42/750","451/16355",0.0931263858093126,2.03077605321508,4.86642629233809,1.07087056312531e-05,0.0026360349494747,0.00230118109993833,"EZR/ITGB5/FAT1/TPM2/TTC17/KANK2/CCDC88A/EPS8/SHANK3/KANK1/NOSTRIN/RHPN2/FERMT2/ARHGEF18/RGCC/RHOJ/TRIOBP/BCL2/MICALL2/PREX1/F11R/PLS1/FAM107A/HIP1R/GAS2L1/SPTA1/WASH3P/ARPC1B/ALMS1/ADD3/SHANK1/SDC4/EMP2/PIK3R2/DNM2/RHOQ/KANK3/PLEC/TMSB15A/FLNA/MSRB2/PPFIA1",42
"GO:0045926","negative regulation of growth","26/750","222/16355",0.117117117117117,2.55393393393393,5.11048611773132,1.1102433601879e-05,0.0026360349494747,0.00230118109993833,"ACVRL1/MT1M/MT1F/MT2A/MT1G/PTCH1/FGFR3/MEG3/MT1X/MT1H/RGS2/MSX1/PPARA/MAPK11/SEMA3F/BCL2/IGFBP5/MT1E/IFRD1/GJA1/SAV1/STK11/VGLL4/BCL6/WWC1/SH3BP4",26
"GO:0001657","ureteric bud development","16/750","100/16355",0.16,3.48906666666667,5.47335709907923,1.1930737158824e-05,0.00270393888517711,0.00236045924170991,"FOXC1/LZTS2/PTCH1/SMAD1/CAT/AGT/FOXD1/SOX9/BCL2/SMAD5/BMPER/BMP7/SMAD6/SALL1/SDC4/DCHS1",16
"GO:0001503","ossification","40/750","424/16355",0.0943396226415094,2.05723270440252,4.83551506319922,1.28096901762521e-05,0.00270913508038615,0.00236499536753367,"ID3/FOXC1/PTN/VCAN/SOX2/LRP4/THRA/TMT1A/PTCH1/EGFR/SCUBE3/TCIRG1/ID4/FGFR3/TOB1/PLXNB1/SMAD1/CAT/CEBPB/WWTR1/FERMT2/MAPK11/CEBPD/SOX9/MRC2/BCL2/SMAD5/IGFBP5/GJA1/ADGRV1/BMP7/YAP1/SMAD6/COL1A2/REST/SRGN/FGR/DCHS1/COL6A1/ASPN",40
"GO:0072163","mesonephric epithelium development","16/750","101/16355",0.158415841584158,3.45452145214521,5.42448026114768,1.35837097893409e-05,0.00270913508038615,0.00236499536753367,"FOXC1/LZTS2/PTCH1/SMAD1/CAT/AGT/FOXD1/SOX9/BCL2/SMAD5/BMPER/BMP7/SMAD6/SALL1/SDC4/DCHS1",16
"GO:0072164","mesonephric tubule development","16/750","101/16355",0.158415841584158,3.45452145214521,5.42448026114768,1.35837097893409e-05,0.00270913508038615,0.00236499536753367,"FOXC1/LZTS2/PTCH1/SMAD1/CAT/AGT/FOXD1/SOX9/BCL2/SMAD5/BMPER/BMP7/SMAD6/SALL1/SDC4/DCHS1",16
"GO:0022612","gland morphogenesis","18/750","125/16355",0.144,3.14016,5.26565900168201,1.56222849963784e-05,0.00299587357661318,0.00261530965425201,"PTN/NOTCH2/PTCH1/TBX3/EGFR/XBP1/ID4/SCRIB/CEBPB/DDR1/SOX9/BCL2/IGFBP5/NFIB/KDM5B/BMP7/LAMA1/CAV1",18
"GO:0051147","regulation of muscle cell differentiation","19/750","138/16355",0.13768115942029,3.00236714975845,5.17855673343186,1.75852762864863e-05,0.00324741435423781,0.00283489736626202,"GPER1/NOTCH2/XBP1/LAMB2/ZBED6/SMAD1/RGS2/MSX1/PPARA/NFATC1/MEGF10/MAPK11/BCL2/EFEMP2/HEY2/NID1/NLN/LAMA1/ID2",19
"GO:0002064","epithelial cell development","25/750","215/16355",0.116279069767442,2.53565891472868,4.96904548220161,1.84527237210869e-05,0.00328590287404783,0.0028684967137855,"EZR/COL27A1/VIM/NOTCH2/CXCR4/TJP2/FAT1/PECAM1/LAMB2/RAB13/PALLD/EPAS1/EDNRB/ADAMTSL4/SOX9/ARHGEF26/GJA1/F11R/PODXL/YAP1/TNFRSF1A/PLEC/FLNA/PPP1R16B/CLDN5",25
"GO:0072001","renal system development","33/750","329/16355",0.100303951367781,2.18729483282675,4.76930063681377,2.13991241296897e-05,0.00349315968300126,0.00304942582160791,"ID3/FOXC1/LRP4/LZTS2/NOTCH2/NFIA/PTCH1/KANK2/EMX2/PECAM1/LAMB2/PCSK5/SMAD1/KLF15/CAT/WWTR1/AGT/EDNRB/FOXD1/SOX9/CTSH/BCL2/SMAD5/NID1/PDGFRA/PODXL/BMPER/BMP7/YAP1/SMAD6/SALL1/SDC4/DCHS1",33
